date,hospital_id,ward_code,base_beds,effective_capacity,occupancy,overflow,admissions,discharges,staffing_index,avg_wait_minutes,admission_rate_per_bed,discharge_rate_per_bed,occupancy_rate
2022-11-21,1,ED,30,34,34,48,72,28,0.966,368,2.4,0.933,1.0
2022-11-22,1,ED,30,34,34,13,42,33,1.014,149,1.4,1.1,1.0
2022-12-15,1,ED,30,34,34,40,64,28,1.011,273,2.133,0.933,1.0
2022-12-16,1,ED,30,34,34,35,64,33,0.944,303,2.133,1.1,1.0
2022-12-17,1,ED,30,34,34,41,70,33,0.96,293,2.333,1.1,1.0
2022-12-18,1,ED,30,34,34,19,47,32,0.938,246,1.567,1.067,1.0
2022-12-19,1,ED,30,34,34,70,99,33,1.017,389,3.3,1.1,1.0
2022-12-20,1,ED,30,34,34,55,81,30,1.041,397,2.7,1.0,1.0
2022-12-21,1,ED,30,34,34,34,62,32,0.989,217,2.067,1.067,1.0
2022-12-22,1,ED,30,34,34,36,64,32,1.018,257,2.133,1.067,1.0
2022-12-23,1,ED,30,34,34,38,66,32,0.968,262,2.2,1.067,1.0
2022-12-24,1,ED,30,34,34,29,59,34,0.933,253,1.967,1.133,1.0
2022-12-25,1,ED,30,34,34,28,58,34,0.929,274,1.933,1.133,1.0
2022-12-26,1,ED,30,34,34,42,63,25,1.012,300,2.1,0.833,1.0
2022-12-27,1,ED,30,34,34,51,74,27,0.97,357,2.467,0.9,1.0
2022-12-28,1,ED,30,34,34,35,56,25,0.935,286,1.867,0.833,1.0
2022-12-29,1,ED,30,34,34,44,68,28,1.019,304,2.267,0.933,1.0
2022-12-30,1,ED,30,34,34,26,51,29,0.969,217,1.7,0.967,1.0
2022-12-31,1,ED,30,34,34,41,67,30,0.924,343,2.233,1.0,1.0
2023-01-01,1,ED,30,34,34,46,73,31,0.942,273,2.433,1.033,1.0
2023-01-02,1,ED,30,34,34,54,84,34,0.981,326,2.8,1.133,1.0
2023-01-03,1,ED,30,34,34,41,68,31,1.016,268,2.267,1.033,1.0
2023-01-04,1,ED,30,34,34,36,62,30,1.013,237,2.067,1.0,1.0
2023-01-05,1,ED,30,34,34,37,63,30,0.981,276,2.1,1.0,1.0
2023-01-06,1,ED,30,34,34,47,76,33,0.974,296,2.533,1.1,1.0
2023-01-07,1,ED,30,34,34,35,61,30,0.95,264,2.033,1.0,1.0
2023-01-08,1,ED,30,34,34,33,62,33,0.931,314,2.067,1.1,1.0
2023-01-09,1,ED,30,34,34,46,76,34,0.992,336,2.533,1.133,1.0
2023-01-10,1,ED,30,34,34,54,80,30,1.005,328,2.667,1.0,1.0
2023-01-11,1,ED,30,34,34,39,65,30,1.019,247,2.167,1.0,1.0
2023-01-12,1,ED,30,34,34,42,70,32,1.01,280,2.333,1.067,1.0
2023-01-13,1,ED,30,34,34,36,62,30,0.994,246,2.067,1.0,1.0
2023-01-14,1,ED,30,34,34,30,60,34,0.972,265,2.0,1.133,1.0
2023-01-15,1,ED,30,34,34,56,85,33,0.928,379,2.833,1.1,1.0
2023-01-16,1,ED,30,34,34,48,76,32,0.993,339,2.533,1.067,1.0
2023-01-17,1,ED,30,34,34,46,68,26,0.988,265,2.267,0.867,1.0
2023-01-18,1,ED,30,34,34,39,69,34,0.981,272,2.3,1.133,1.0
2023-01-19,1,ED,30,34,34,28,56,32,1.005,223,1.867,1.067,1.0
2023-01-20,1,ED,30,34,34,14,44,34,0.977,181,1.467,1.133,1.0
2023-01-21,1,ED,30,34,34,37,67,34,0.932,311,2.233,1.133,1.0
2023-01-22,1,ED,30,34,34,40,69,33,1.012,273,2.3,1.1,1.0
2023-01-23,1,ED,30,34,34,29,59,34,0.969,266,1.967,1.133,1.0
2023-01-24,1,ED,30,34,34,39,68,33,1.044,285,2.267,1.1,1.0
2023-01-25,1,ED,30,34,34,36,65,33,1.032,243,2.167,1.1,1.0
2023-01-26,1,ED,30,34,34,36,63,31,0.999,297,2.1,1.033,1.0
2023-01-27,1,ED,30,34,34,34,60,30,1.055,236,2.0,1.0,1.0
2023-01-28,1,ED,30,34,34,60,85,29,0.979,357,2.833,0.967,1.0
2023-01-29,1,ED,30,34,34,36,66,34,0.95,262,2.2,1.133,1.0
2023-01-30,1,ED,30,34,34,41,67,30,1.07,283,2.233,1.0,1.0
2023-01-31,1,ED,30,34,34,48,73,29,1.012,275,2.433,0.967,1.0
2024-04-25,1,ED,30,34,34,27,54,31,0.985,228,1.8,1.033,1.0
2024-04-26,1,ED,30,34,34,14,39,29,0.988,197,1.3,0.967,1.0
2024-04-27,1,ED,30,34,34,37,61,28,0.908,217,2.033,0.933,1.0
2024-04-28,1,ED,30,34,34,33,60,31,0.942,270,2.0,1.033,1.0
2024-04-29,1,ED,30,34,34,35,57,26,1.024,248,1.9,0.867,1.0
2024-04-30,1,ED,30,34,34,34,62,32,1.004,285,2.067,1.067,1.0
2024-05-01,1,ED,30,34,34,34,62,32,1.001,268,2.067,1.067,1.0
2024-05-02,1,ED,30,34,34,15,43,32,1.009,165,1.433,1.067,1.0
2024-05-03,1,ED,30,34,34,24,52,32,0.992,194,1.733,1.067,1.0
2024-05-04,1,ED,30,34,34,13,43,34,0.892,201,1.433,1.133,1.0
2024-05-05,1,ED,30,34,34,31,56,29,0.964,295,1.867,0.967,1.0
2024-05-06,1,ED,30,34,34,31,60,33,0.959,234,2.0,1.1,1.0
2024-05-07,1,ED,30,34,34,19,47,32,0.994,168,1.567,1.067,1.0
2024-05-08,1,ED,30,34,34,33,60,31,1.026,276,2.0,1.033,1.0
2024-05-09,1,ED,30,34,34,16,45,33,1.008,202,1.5,1.1,1.0
2024-05-10,1,ED,30,34,34,33,60,31,0.985,283,2.0,1.033,1.0
2024-05-11,1,ED,30,34,34,31,61,34,0.937,274,2.033,1.133,1.0
2024-05-12,1,ED,30,34,34,29,52,27,0.909,261,1.733,0.9,1.0
2024-05-13,1,ED,30,34,34,12,40,32,1.016,161,1.333,1.067,1.0
2024-05-14,1,ED,30,34,34,23,48,29,0.964,201,1.6,0.967,1.0
2024-05-15,1,ED,30,34,34,7,27,24,1.014,159,0.9,0.8,1.0
2024-05-16,1,ED,30,34,34,28,56,32,1.013,254,1.867,1.067,1.0
2024-05-17,1,ED,30,34,34,23,48,29,0.99,186,1.6,0.967,1.0
2024-05-18,1,ED,30,34,34,36,63,31,0.901,372,2.1,1.033,1.0
2024-05-19,1,ED,30,34,34,20,49,33,0.959,225,1.633,1.1,1.0
2024-05-20,1,ED,30,34,34,47,75,32,0.996,292,2.5,1.067,1.0
2024-05-21,1,ED,30,34,34,30,58,32,1.012,215,1.933,1.067,1.0
2024-05-22,1,ED,30,34,34,40,64,28,1.046,239,2.133,0.933,1.0
2024-05-23,1,ED,30,34,34,17,43,30,0.995,216,1.433,1.0,1.0
2024-05-24,1,ED,30,34,34,35,57,26,0.968,266,1.9,0.867,1.0
2024-05-25,1,ED,30,34,34,27,55,32,0.967,234,1.833,1.067,1.0
2024-05-26,1,ED,30,34,34,36,63,31,0.952,280,2.1,1.033,1.0
2024-05-27,1,ED,30,34,34,31,59,32,0.961,208,1.967,1.067,1.0
2024-05-28,1,ED,30,34,34,29,55,30,0.969,209,1.833,1.0,1.0
2024-05-29,1,ED,30,34,34,21,50,33,1.018,209,1.667,1.1,1.0
2024-05-30,1,ED,30,34,34,21,50,33,1.053,222,1.667,1.1,1.0
2024-05-31,1,ED,30,34,34,19,47,32,0.994,203,1.567,1.067,1.0
2024-06-01,1,ED,30,34,34,25,53,32,0.956,217,1.767,1.067,1.0
2024-06-02,1,ED,30,34,34,16,45,33,0.932,178,1.5,1.1,1.0
2024-06-03,1,ED,30,34,34,41,69,32,0.993,226,2.3,1.067,1.0
2024-06-04,1,ED,30,34,34,22,50,32,0.985,208,1.667,1.067,1.0
2024-06-05,1,ED,30,34,34,21,49,32,1.027,185,1.633,1.067,1.0
2024-06-06,1,ED,30,34,34,33,62,33,1.042,243,2.067,1.1,1.0
2024-06-07,1,ED,30,34,34,13,41,32,0.996,144,1.367,1.067,1.0
2024-06-08,1,ED,30,34,34,33,61,32,0.854,331,2.033,1.067,1.0
2024-06-09,1,ED,30,34,34,6,32,30,0.925,109,1.067,1.0,1.0
2024-06-10,1,ED,30,34,34,21,46,29,0.971,262,1.533,0.967,1.0
2024-06-11,1,ED,30,34,34,35,62,31,0.992,269,2.067,1.033,1.0
2024-06-12,1,ED,30,34,34,36,64,32,1.026,194,2.133,1.067,1.0
2024-06-13,1,ED,30,34,34,31,59,32,1.057,206,1.967,1.067,1.0
2024-06-14,1,ED,30,34,34,41,70,33,0.96,300,2.333,1.1,1.0
2024-06-15,1,ED,30,34,34,26,53,31,0.939,284,1.767,1.033,1.0
2024-06-16,1,ED,30,34,34,8,33,29,0.943,205,1.1,0.967,1.0
2024-06-17,1,ED,30,34,34,20,46,30,0.971,219,1.533,1.0,1.0
2024-06-18,1,ED,30,34,34,18,43,29,1.093,178,1.433,0.967,1.0
2024-06-19,1,ED,30,34,34,20,45,29,0.987,199,1.5,0.967,1.0
2024-06-20,1,ED,30,34,34,28,53,29,0.977,224,1.767,0.967,1.0
2024-06-21,1,ED,30,34,34,29,55,30,1.043,227,1.833,1.0,1.0
2024-06-22,1,ED,30,34,34,14,39,29,0.913,182,1.3,0.967,1.0
2024-06-23,1,ED,30,34,34,27,53,30,0.979,187,1.767,1.0,1.0
2024-06-24,1,ED,30,34,34,57,83,30,0.964,418,2.767,1.0,1.0
2024-06-25,1,ED,30,34,34,17,45,32,1.029,206,1.5,1.067,1.0
2024-06-26,1,ED,30,34,34,33,54,25,1.0,296,1.8,0.833,1.0
2024-06-27,1,ED,30,34,34,23,52,33,0.99,225,1.733,1.1,1.0
2024-06-28,1,ED,30,34,34,26,55,33,0.987,197,1.833,1.1,1.0
2024-06-29,1,ED,30,34,34,14,43,33,0.907,189,1.433,1.1,1.0
2024-06-30,1,ED,30,34,34,35,63,32,0.936,284,2.1,1.067,1.0
2024-07-01,1,ED,30,34,34,24,54,34,0.953,281,1.8,1.133,1.0
2024-07-02,1,ED,30,34,34,12,38,30,0.964,105,1.267,1.0,1.0
2024-07-03,1,ED,30,34,34,51,76,29,0.976,233,2.533,0.967,1.0
2024-07-04,1,ED,30,34,34,17,43,30,0.976,237,1.433,1.0,1.0
2024-07-05,1,ED,30,34,34,13,41,32,1.001,135,1.367,1.067,1.0
2024-07-06,1,ED,30,34,34,18,45,31,0.899,210,1.5,1.033,1.0
2024-07-07,1,ED,30,34,34,27,53,30,0.903,251,1.767,1.0,1.0
2024-07-08,1,ED,30,34,34,13,41,32,1.003,167,1.367,1.067,1.0
2024-07-09,1,ED,30,34,34,30,55,29,1.004,241,1.833,0.967,1.0
2024-07-10,1,ED,30,34,34,32,59,31,0.982,185,1.967,1.033,1.0
2024-07-11,1,ED,30,34,34,10,38,32,0.91,195,1.267,1.067,1.0
2024-07-12,1,ED,30,34,34,13,39,30,0.957,191,1.3,1.0,1.0
2024-07-13,1,ED,30,34,34,11,39,32,0.932,164,1.3,1.067,1.0
2024-07-14,1,ED,30,34,34,30,58,32,0.898,231,1.933,1.067,1.0
2024-07-15,1,ED,30,34,34,18,44,30,0.976,213,1.467,1.0,1.0
2024-07-16,1,ED,30,34,34,32,58,30,0.987,254,1.933,1.0,1.0
2024-07-17,1,ED,30,34,34,33,61,32,0.952,236,2.033,1.067,1.0
2024-07-18,1,ED,30,34,34,18,46,32,0.972,225,1.533,1.067,1.0
2024-07-19,1,ED,30,34,34,18,44,30,0.991,199,1.467,1.0,1.0
2024-07-20,1,ED,30,34,34,22,47,29,0.896,254,1.567,0.967,1.0
2024-07-21,1,ED,30,34,34,31,56,29,0.891,257,1.867,0.967,1.0
2024-07-22,1,ED,30,34,34,38,61,27,1.013,267,2.033,0.9,1.0
2024-07-23,1,ED,30,34,34,17,45,32,0.913,265,1.5,1.067,1.0
2024-07-24,1,ED,30,34,34,7,36,33,0.95,105,1.2,1.1,1.0
2024-07-25,1,ED,30,34,34,23,50,31,0.972,213,1.667,1.033,1.0
2024-07-26,1,ED,30,34,34,27,53,30,0.945,254,1.767,1.0,1.0
2024-07-27,1,ED,30,34,34,14,34,24,0.942,172,1.133,0.8,1.0
2024-07-28,1,ED,30,34,34,14,43,33,0.913,187,1.433,1.1,1.0
2024-07-29,1,ED,30,34,34,22,47,29,0.986,288,1.567,0.967,1.0
2024-07-30,1,ED,30,34,34,29,53,28,0.936,272,1.767,0.933,1.0
2024-07-31,1,ED,30,34,34,4,31,31,0.951,109,1.033,1.033,1.0
2024-08-01,1,ED,30,34,34,18,47,33,0.981,181,1.567,1.1,1.0
2024-08-02,1,ED,30,34,34,27,51,28,0.967,295,1.7,0.933,1.0
2024-08-03,1,ED,30,34,34,39,68,33,0.893,295,2.267,1.1,1.0
2024-08-04,1,ED,30,34,34,27,49,26,0.939,278,1.633,0.867,1.0
2024-08-05,1,ED,30,34,34,34,63,33,0.981,256,2.1,1.1,1.0
2024-08-06,1,ED,30,34,34,46,68,26,0.96,301,2.267,0.867,1.0
2024-08-07,1,ED,30,34,34,32,56,28,1.002,299,1.867,0.933,1.0
2024-08-08,1,ED,30,34,34,48,73,29,0.979,296,2.433,0.967,1.0
2024-08-09,1,ED,30,34,34,50,75,29,0.999,302,2.5,0.967,1.0
2024-08-10,1,ED,30,34,34,34,58,28,0.999,221,1.933,0.933,1.0
2024-08-11,1,ED,30,34,34,21,50,33,0.897,196,1.667,1.1,1.0
2024-08-12,1,ED,30,34,34,21,51,34,1.009,197,1.7,1.133,1.0
2024-08-13,1,ED,30,34,34,20,50,34,0.988,209,1.667,1.133,1.0
2024-08-14,1,ED,30,34,34,51,74,27,0.971,319,2.467,0.9,1.0
2024-08-15,1,ED,30,34,34,26,54,32,1.05,167,1.8,1.067,1.0
2024-08-16,1,ED,30,34,34,24,43,23,0.976,185,1.433,0.767,1.0
2024-08-17,1,ED,30,34,34,32,58,30,0.93,271,1.933,1.0,1.0
2024-08-18,1,ED,30,34,34,29,56,31,0.929,191,1.867,1.033,1.0
2024-08-19,1,ED,30,34,34,31,57,30,0.966,185,1.9,1.0,1.0
2024-08-20,1,ED,30,34,34,20,47,31,0.982,148,1.567,1.033,1.0
2024-08-21,1,ED,30,34,34,33,63,34,0.98,197,2.1,1.133,1.0
2024-08-22,1,ED,30,34,34,27,57,34,0.952,255,1.9,1.133,1.0
2024-08-23,1,ED,30,34,34,17,45,32,1.027,239,1.5,1.067,1.0
2024-08-24,1,ED,30,34,34,38,63,29,0.965,287,2.1,0.967,1.0
2024-08-25,1,ED,30,34,34,27,53,30,0.921,206,1.767,1.0,1.0
2024-08-26,1,ED,30,34,34,30,58,32,0.995,214,1.933,1.067,1.0
2024-08-27,1,ED,30,34,34,39,66,31,0.973,283,2.2,1.033,1.0
2024-08-28,1,ED,30,34,34,22,47,29,0.981,187,1.567,0.967,1.0
2024-08-29,1,ED,30,34,34,29,52,27,0.963,236,1.733,0.9,1.0
2024-08-30,1,ED,30,34,34,40,66,30,0.939,340,2.2,1.0,1.0
2024-08-31,1,ED,30,34,34,11,39,32,0.925,233,1.3,1.067,1.0
2024-09-01,1,ED,30,34,34,12,41,33,0.894,195,1.367,1.1,1.0
2024-09-02,1,ED,30,34,34,44,71,31,1.054,257,2.367,1.033,1.0
2024-09-03,1,ED,30,34,34,28,56,32,0.96,239,1.867,1.067,1.0
2024-09-04,1,ED,30,34,34,22,49,31,1.01,237,1.633,1.033,1.0
2024-09-05,1,ED,30,34,34,36,62,30,0.979,196,2.067,1.0,1.0
2024-09-06,1,ED,30,34,34,44,69,29,0.975,362,2.3,0.967,1.0
2024-09-07,1,ED,30,34,34,20,43,27,0.906,201,1.433,0.9,1.0
2024-09-08,1,ED,30,34,34,26,53,31,0.975,202,1.767,1.033,1.0
2024-09-09,1,ED,30,34,34,19,45,30,1.004,187,1.5,1.0,1.0
2024-09-10,1,ED,30,34,34,47,69,26,0.967,407,2.3,0.867,1.0
2024-09-11,1,ED,30,34,34,34,57,27,1.008,238,1.9,0.9,1.0
2024-09-12,1,ED,30,34,34,29,55,30,1.029,214,1.833,1.0,1.0
2024-09-13,1,ED,30,34,34,33,60,31,1.051,234,2.0,1.033,1.0
2024-09-14,1,ED,30,34,34,29,57,32,0.926,297,1.9,1.067,1.0
2024-09-15,1,ED,30,34,34,41,69,32,0.977,288,2.3,1.067,1.0
2024-09-16,1,ED,30,34,34,33,60,31,1.034,254,2.0,1.033,1.0
2024-09-17,1,ED,30,34,34,30,54,28,0.943,240,1.8,0.933,1.0
2024-09-18,1,ED,30,34,34,41,66,29,1.004,288,2.2,0.967,1.0
2024-09-19,1,ED,30,34,34,21,49,32,1.001,221,1.633,1.067,1.0
2024-09-20,1,ED,30,34,34,26,54,32,0.979,257,1.8,1.067,1.0
2024-09-21,1,ED,30,34,34,9,37,32,0.953,171,1.233,1.067,1.0
2024-09-22,1,ED,30,34,34,36,63,31,0.909,311,2.1,1.033,1.0
2024-09-23,1,ED,30,34,34,50,71,25,0.977,349,2.367,0.833,1.0
2024-09-24,1,ED,30,34,34,35,64,33,0.987,243,2.133,1.1,1.0
2024-09-25,1,ED,30,34,34,24,53,33,0.988,180,1.767,1.1,1.0
2024-09-26,1,ED,30,34,34,20,43,27,0.987,192,1.433,0.9,1.0
2024-09-27,1,ED,30,34,34,27,53,30,1.005,242,1.767,1.0,1.0
2024-09-28,1,ED,30,34,34,40,67,31,0.933,312,2.233,1.033,1.0
2024-09-29,1,ED,30,34,34,47,75,32,0.968,323,2.5,1.067,1.0
2024-09-30,1,ED,30,34,34,38,67,33,1.005,275,2.233,1.1,1.0
2024-10-01,1,ED,30,34,34,22,44,26,0.999,220,1.467,0.867,1.0
2024-10-02,1,ED,30,34,34,30,55,29,1.003,227,1.833,0.967,1.0
2024-10-03,1,ED,30,34,34,36,63,31,0.946,301,2.1,1.033,1.0
2024-10-04,1,ED,30,34,34,37,65,32,1.028,302,2.167,1.067,1.0
2024-10-05,1,ED,30,34,34,41,62,25,0.944,313,2.067,0.833,1.0
2024-10-06,1,ED,30,34,34,29,55,30,0.925,253,1.833,1.0,1.0
2024-10-07,1,ED,30,34,34,33,63,34,1.01,237,2.1,1.133,1.0
2024-10-08,1,ED,30,34,34,40,66,30,0.974,263,2.2,1.0,1.0
2024-10-09,1,ED,30,34,34,17,47,34,1.062,173,1.567,1.133,1.0
2024-10-10,1,ED,30,34,34,30,53,27,0.996,217,1.767,0.9,1.0
2024-10-11,1,ED,30,34,34,38,68,34,0.959,234,2.267,1.133,1.0
2024-10-12,1,ED,30,34,34,36,61,29,0.923,324,2.033,0.967,1.0
2024-10-13,1,ED,30,34,34,31,58,31,0.876,310,1.933,1.033,1.0
2024-10-14,1,ED,30,34,34,33,57,28,0.976,256,1.9,0.933,1.0
2024-10-15,1,ED,30,34,34,32,58,30,0.969,292,1.933,1.0,1.0
2024-10-16,1,ED,30,34,34,37,60,27,1.021,300,2.0,0.9,1.0
2024-10-17,1,ED,30,34,34,36,62,30,0.996,281,2.067,1.0,1.0
2024-10-18,1,ED,30,34,34,18,39,25,1.005,195,1.3,0.833,1.0
2024-10-19,1,ED,30,34,34,32,62,34,0.942,271,2.067,1.133,1.0
2024-10-20,1,ED,30,34,34,23,51,32,0.974,208,1.7,1.067,1.0
2024-10-21,1,ED,30,34,34,7,37,34,0.968,117,1.233,1.133,1.0
2024-10-22,1,ED,30,34,34,40,69,33,1.0,286,2.3,1.1,1.0
2024-10-23,1,ED,30,34,34,38,66,32,0.979,326,2.2,1.067,1.0
2024-10-24,1,ED,30,34,34,17,46,33,0.997,151,1.533,1.1,1.0
2024-10-25,1,ED,30,34,34,8,36,32,0.988,133,1.2,1.067,1.0
2024-10-26,1,ED,30,34,34,32,60,32,0.917,304,2.0,1.067,1.0
2024-10-27,1,ED,30,34,34,27,55,32,0.908,282,1.833,1.067,1.0
2024-10-28,1,ED,30,34,34,18,45,31,0.934,207,1.5,1.033,1.0
2024-10-29,1,ED,30,34,34,15,42,31,0.992,140,1.4,1.033,1.0
2024-10-30,1,ED,30,34,34,23,51,32,1.03,210,1.7,1.067,1.0
2024-10-31,1,ED,30,34,34,33,62,33,0.967,231,2.067,1.1,1.0
2024-11-01,1,ED,30,34,34,33,60,31,1.039,203,2.0,1.033,1.0
2024-11-02,1,ED,30,34,34,26,50,28,0.918,270,1.667,0.933,1.0
2024-11-03,1,ED,30,34,34,33,60,31,0.957,262,2.0,1.033,1.0
2024-11-04,1,ED,30,34,34,20,47,31,1.002,228,1.567,1.033,1.0
2024-11-05,1,ED,30,34,34,53,79,30,0.971,394,2.633,1.0,1.0
2024-11-06,1,ED,30,34,34,56,80,28,0.974,393,2.667,0.933,1.0
2024-11-07,1,ED,30,34,34,51,74,27,1.031,331,2.467,0.9,1.0
2024-11-08,1,ED,30,34,34,21,47,30,1.031,190,1.567,1.0,1.0
2024-11-09,1,ED,30,34,34,30,57,31,0.935,278,1.9,1.033,1.0
2024-11-10,1,ED,30,34,34,30,56,30,0.911,204,1.867,1.0,1.0
2024-11-11,1,ED,30,34,34,43,73,34,0.971,323,2.433,1.133,1.0
2024-11-12,1,ED,30,34,34,29,49,24,1.018,219,1.633,0.8,1.0
2024-11-13,1,ED,30,34,34,26,54,32,1.0,256,1.8,1.067,1.0
2024-11-14,1,ED,30,34,34,28,53,29,1.028,253,1.767,0.967,1.0
2024-11-15,1,ED,30,34,34,41,63,26,1.003,340,2.1,0.867,1.0
2024-11-16,1,ED,30,34,34,18,41,27,0.92,263,1.367,0.9,1.0
2024-11-17,1,ED,30,34,34,40,69,33,0.888,320,2.3,1.1,1.0
2024-11-18,1,ED,30,34,34,18,44,30,1.027,119,1.467,1.0,1.0
2024-11-19,1,ED,30,34,34,43,68,29,1.018,321,2.267,0.967,1.0
2024-11-20,1,ED,30,34,34,16,44,32,0.999,214,1.467,1.067,1.0
2024-11-21,1,ED,30,34,34,34,62,32,1.054,235,2.067,1.067,1.0
2024-11-22,1,ED,30,34,34,22,51,33,1.006,165,1.7,1.1,1.0
2024-11-23,1,ED,30,34,34,32,61,33,0.926,283,2.033,1.1,1.0
2024-11-24,1,ED,30,34,34,30,58,32,0.964,254,1.933,1.067,1.0
2024-11-25,1,ED,30,34,34,48,74,30,1.045,322,2.467,1.0,1.0
2024-11-26,1,ED,30,34,34,35,63,32,0.953,307,2.1,1.067,1.0
2024-11-27,1,ED,30,34,34,24,52,32,1.042,169,1.733,1.067,1.0
2024-11-28,1,ED,30,34,34,53,76,27,1.005,389,2.533,0.9,1.0
2024-11-29,1,ED,30,34,34,44,71,31,1.039,311,2.367,1.033,1.0
2024-11-30,1,ED,30,34,34,21,51,34,0.969,193,1.7,1.133,1.0
2024-12-01,1,ED,30,34,34,50,76,30,0.911,354,2.533,1.0,1.0
2024-12-02,1,ED,30,34,34,24,51,31,0.968,210,1.7,1.033,1.0
2024-12-03,1,ED,30,34,34,29,57,32,1.028,230,1.9,1.067,1.0
2024-12-04,1,ED,30,34,34,48,77,33,0.972,333,2.567,1.1,1.0
2024-12-05,1,ED,30,34,34,56,85,33,0.981,335,2.833,1.1,1.0
2024-12-06,1,ED,30,34,34,68,91,27,0.983,429,3.033,0.9,1.0
2024-12-07,1,ED,30,34,34,52,72,24,0.919,414,2.4,0.8,1.0
2024-12-08,1,ED,30,34,34,47,76,33,0.97,306,2.533,1.1,1.0
2024-12-09,1,ED,30,34,34,47,76,33,0.997,304,2.533,1.1,1.0
2024-12-10,1,ED,30,34,34,30,57,31,0.984,234,1.9,1.033,1.0
2024-12-11,1,ED,30,34,34,24,53,33,1.076,169,1.767,1.1,1.0
2024-12-12,1,ED,30,34,34,49,71,26,1.055,352,2.367,0.867,1.0
2024-12-13,1,ED,30,34,34,39,68,33,1.004,276,2.267,1.1,1.0
2024-12-14,1,ED,30,34,34,55,81,30,0.975,317,2.7,1.0,1.0
2024-12-15,1,ED,30,34,34,51,74,27,1.058,274,2.467,0.9,1.0
2024-12-16,1,ED,30,34,34,39,64,29,0.994,317,2.133,0.967,1.0
2024-12-17,1,ED,30,34,34,42,68,30,0.994,288,2.267,1.0,1.0
2024-12-18,1,ED,30,34,34,44,70,30,1.05,269,2.333,1.0,1.0
2024-12-19,1,ED,30,34,34,40,69,33,1.026,277,2.3,1.1,1.0
2024-12-20,1,ED,30,34,34,58,84,30,1.024,359,2.8,1.0,1.0
2024-12-21,1,ED,30,34,34,32,58,30,0.952,222,1.933,1.0,1.0
2024-12-22,1,ED,30,34,34,34,53,23,0.977,241,1.767,0.767,1.0
2024-12-23,1,ED,30,34,34,46,66,24,1.007,312,2.2,0.8,1.0
2024-12-24,1,ED,30,34,34,27,51,28,0.972,223,1.7,0.933,1.0
2024-12-25,1,ED,30,34,34,15,39,28,0.966,228,1.3,0.933,1.0
2024-12-26,1,ED,30,34,34,43,69,30,1.036,340,2.3,1.0,1.0
2024-12-27,1,ED,30,34,34,61,89,32,1.009,284,2.967,1.067,1.0
2024-12-28,1,ED,30,34,34,37,64,31,0.938,338,2.133,1.033,1.0
2024-12-29,1,ED,30,34,34,27,52,29,0.964,267,1.733,0.967,1.0
2024-12-30,1,ED,30,34,34,44,73,33,0.997,307,2.433,1.1,1.0
2024-12-31,1,ED,30,34,34,52,79,31,1.017,318,2.633,1.033,1.0
2025-01-01,1,ED,30,34,34,35,63,32,1.013,240,2.1,1.067,1.0
2025-01-02,1,ED,30,34,34,49,71,26,0.984,362,2.367,0.867,1.0
2025-01-03,1,ED,30,34,34,35,60,29,0.987,276,2.0,0.967,1.0
2025-01-04,1,ED,30,34,34,16,46,34,0.965,207,1.533,1.133,1.0
2025-01-05,1,ED,30,34,34,35,65,34,0.909,229,2.167,1.133,1.0
